,Src,Eqid,Datetime,Lat,Lon,Mag,Depth,Nst,Place
0,ak,10827135,1382257048000,64.3375,-148.9085,2,36.4,,"28km SSE of North Nenana, Alaska"
1,hv,60579736,1382256603200,19.4247,-155.6088,1.8,1.2,,"27km E of Honaunau-Napoopoo, Hawaii"
2,nc,72091296,1382256504200,38.8052,-122.79,1.3,1.2,,"4km NW of The Geysers, California"
3,us,b000khj3,1382256342110,9.8016,123.7235,5.2,20.17,,"7km W of Loon, Philippines"
4,nc,72091271,1382256309500,39.528,-122.1327,2.4,27.3,,"5km E of Willows, California"
5,nn,00426809,1382256213920,39.404,-119.5533,1.67,6.01,24,"13km NE of Virginia City, Nevada"
6,hv,60579726,1382254854800,19.4185,-155.6192,2.7,2.1,,"26km E of Honaunau-Napoopoo, Hawaii"
7,ak,10827121,1382253555000,62.4338,-149.7431,1.5,61.4,,"22km ENE of Talkeetna, Alaska"
8,ci,11381090,1382253367300,33.8817,-116.231,1.1,7.3,14,"11km E of Sky Valley, California"
9,nc,72091241,1382251858300,36.775,-120.1225,2.5,29.7,,"7km NW of Kerman, California"
10,ci,11381082,1382251178600,33.6528,-116.7013,1.2,18.9,13,"9km S of Idyllwild, California"
11,us,b000khit,1382250239480,9.8184,124.0567,4.7,19.73,,"7km ESE of Catigbian, Philippines"
12,ci,11381058,1382249667200,33.4852,-116.5768,1.3,9,39,"11km SE of Anza, California"
13,nc,72091196,1382248959000,38.7603,-122.8472,1.3,4.2,,"8km WSW of The Geysers, California"
14,nc,72091191,1382248829400,36.3077,-120.8717,2,4.7,,"25km ENE of King City, California"
15,nc,72091176,1382248436200,38.8088,-122.8117,1.4,1.9,,"5km NW of The Geysers, California"
16,nc,72091171,1382248414700,38.7645,-122.847,1.2,4.5,,"8km W of The Geysers, California"
17,nc,72091166,1382248237900,38.7665,-122.8458,1,4.4,,"7km W of The Geysers, California"
18,nc,72091156,1382248226500,38.7622,-122.8452,1.5,4.3,,"7km WSW of The Geysers, California"
19,us,b000khii,1382247498590,19.4923,-92.1161,4.2,13.93,,"99km NNW of Ciudad del Carmen, Mexico"
20,us,b000khih,1382246820220,27.1471,65.7523,4.4,10.23,,"92km NE of Awaran, Pakistan"
21,hv,60579686,1382246741600,19.9262,-156.1603,3,10.3,,"28km NW of Kalaoa, Hawaii"
22,ak,10827097,1382246202000,61.5695,-151.842,2.2,97,,"97km W of Willow, Alaska"
23,us,b000khic,1382245881110,27.2444,65.4902,4.3,10.15,,"91km NNE of Awaran, Pakistan"
24,ak,10827094,1382245587000,64.5041,-146.984,1.3,2.3,,"4km WSW of Salcha, Alaska"
25,ci,11381042,1382245038200,33.325,-116.3882,1.2,5.5,17,"7km N of Borrego Springs, California"
26,ak,10827086,1382242875000,62.2956,-148.7335,1.3,37.8,,"55km N of Sutton-Alpine, Alaska"
27,ci,11381034,1382242536000,33.7257,-116.7508,1,18.8,22,"3km SW of Idyllwild-Pine Cove, California"
28,us,b000khhb,1382241715710,-23.7335,179.0595,4.7,533.72,,South of the Fiji Islands
29,ci,11381026,1382241229400,33.5795,-116.7203,1.1,15,32,"5km WNW of Anza, California"
30,ci,11381018,1382240202800,34.0455,-116.7682,1,13,24,"14km N of Cabazon, California"
31,nc,72091096,1382235823800,38.7888,-122.729,1.1,2.7,,"2km ENE of The Geysers, California"
32,nc,72091091,1382235816000,38.791,-122.7298,1.8,2.4,,"2km ENE of The Geysers, California"
33,nc,72091066,1382233848400,37.6518,-119.411,1.4,7.2,,"17km SE of Yosemite Valley, California"
34,us,b000khgz,1382233535470,9.8646,124.0282,4.9,20.22,,"3km ENE of Catigbian, Philippines"
35,ci,11381002,1382231599300,33.496,-116.4465,1.4,6.5,36,"22km SW of La Quinta, California"
36,uw,60614272,1382231424000,46.5963,-121.6133,1.6,3.5,,"4km ESE of Packwood, Washington"
37,nc,72091026,1382229318700,38.7872,-122.7275,1.6,2.3,,"2km ENE of The Geysers, California"
38,us,b000khgc,1382228982880,-1.8545,100.392,4.6,65.5,,"59km SSW of Painan, Indonesia"
39,ak,10827051,1382228891000,63.5579,-150.7939,1.7,0,,"93km WNW of Cantwell, Alaska"
40,ak,10827043,1382228587000,63.3268,-149.4243,3.5,93.2,,"24km WSW of Cantwell, Alaska"
41,nn,00426788,1382227885380,38.3145,-119.5018,1.27,17.24,5,"24km WNW of Bridgeport, California"
42,ak,10827035,1382227113000,63.5517,-150.7706,2.5,5,,"92km WNW of Cantwell, Alaska"
43,us,b000khfy,1382225552780,26.3305,-110.303,4.1,10.05,,"79km SW of Etchoropo, Mexico"
44,nn,00426787,1382225429390,40.8975,-118.6505,2.4,8.84,17,"70km ENE of Gerlach-Empire, Nevada"
45,ak,10827027,1382224764000,62.4876,-151.5861,2,91.2,,"78km WNW of Talkeetna, Alaska"
46,ci,11380970,1382223622400,34.2318,-117.5148,1.1,8.6,18,"15km NNE of Rancho Cucamonga, California"
47,us,b000khfp,1382222997200,-6.591,154.8243,5.2,48.73,,"79km WSW of Panguna, Papua New Guinea"
48,us,b000khf8,1382220868060,25.0957,-110.7486,4.6,10,,"92km E of Ciudad Constitucion, Mexico"
49,ci,11380962,1382220830100,35.0973,-117.1453,1.4,7.8,27,"24km NNW of Barstow, California"
50,ci,11380954,1382219720300,35.0978,-117.1468,1.8,7.5,34,"24km NNW of Barstow, California"
51,us,b000khf4,1382219014350,10.0048,124.3151,4.9,58.49,,"3km SW of Hinlayagan Ilaud, Philippines"
52,ak,10827016,1382218708000,62.807,-149.8005,1.8,49.3,,"56km NNE of Talkeetna, Alaska"
53,ak,10827009,1382218547000,61.5215,-146.5167,2.3,29.1,,"44km NNW of Valdez, Alaska"
54,pr,13292006,1382218332100,18.1506,-68.1155,3.2,102,13,"56km SSE of Punta Cana, Dominican Republic"
55,nc,72090991,1382218263800,36.6077,-121.0975,1.6,5.7,,"28km NE of Soledad, California"
56,us,b000khf0,1382218182240,9.9959,124.1788,4.9,53.26,,"7km NW of Danao, Philippines"
57,us,b000khf3,1382217113240,9.5626,123.7041,4.7,63.74,,"3km SW of Duljo, Philippines"
58,ci,11380938,1382216779100,35.9468,-117.6545,1.1,2.6,9,"30km NW of Searles Valley, California"
59,ak,10827000,1382216673000,62.4046,-148.3567,1.9,26.7,,"72km NNE of Sutton-Alpine, Alaska"
60,nc,72090976,1382215743000,40.7387,-124.883,2.6,0.3,,"55km WNW of Ferndale, California"
61,pr,13292005,1382215663100,19.1298,-66.5101,2.6,11,4,"73km N of Tierras Nuevas Poniente, Puerto Rico"
62,us,b000khea,1382215242790,10.0934,124.2114,4.9,20.1,,"8km SW of Bagacay, Philippines"
63,ci,11380922,1382215196400,34.4393,-119.0537,1.5,1.3,13,"9km N of Santa Paula, California"
64,nc,72090951,1382213839700,39.4002,-123.2715,3.4,4.7,,"7km E of Willits, California"
65,ak,10826987,1382213598000,59.9481,-154.2465,2.5,100,,"43km ENE of Old Iliamna, Alaska"
66,nc,72090946,1382213324200,38.8232,-122.8063,1.8,1,,"6km NW of The Geysers, California"
67,ci,11380906,1382213164200,32.8742,-116.2447,1.6,4.4,24,"27km ENE of Pine Valley, California"
68,us,b000khdp,1382212602890,37.7383,142.4885,4.3,44.28,,"128km SE of Ishinomaki, Japan"
69,nc,72090926,1382210496000,38.8082,-122.8147,1.1,2.6,,"6km NW of The Geysers, California"
70,nc,72090921,1382207490000,38.7863,-122.7638,1.2,2,,"1km NNW of The Geysers, California"
71,nc,72090901,1382205907400,38.7898,-122.7387,1.8,2.8,,"2km NE of The Geysers, California"
72,us,b000khbc,1382205296970,26.2676,-110.1778,6.5,7.98,,"75km SW of Etchoropo, Mexico"
73,us,b000khb4,1382204862030,36.3169,71.1074,4.4,112.97,,"43km NE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan"
74,us,b000khaq,1382203983060,-6.1459,-107.1144,4.5,15.39,,Central East Pacific Rise
75,nc,72090876,1382203528100,37.0207,-121.4707,1.3,8.9,,"8km E of Gilroy, California"
76,us,b000khak,1382202696650,-33.3517,-179.1762,4.7,1,,"214km S of L'Esperance Rock, New Zealand"
77,ci,11380866,1382202470700,33.0338,-116.4072,1.3,10.1,21,"18km ESE of Julian, California"
78,ak,10826962,1382199700000,60.2912,-150.765,2.7,26.3,,"27km S of Sterling, Alaska"
